Time,X Desired,X Actual,Y Desired,Y Actual,Z Desired,Z Actual,Roll Desired,Roll Actual,Pitch Desired,Pitch Actual,Yaw Desired,Yaw Actual
1.0599999999998997,1.5899999999998495,1.210648723695978,0.7949999999999248,0.5878096363066121,4.205000000000076,4.345252428531983,0.0,3.4940101890194766e-16,0.0,1.2894070068073751e-15,0.0,0.012476908804240372
1.0699999999998986,1.6049999999998479,1.2250722073862335,0.8024999999999239,0.5958788606848736,4.197500000000076,4.337895370051603,0.0,3.2770008081749697e-16,0.0,1.3034245742587498e-15,0.0,-0.00022931369201979081
1.0799999999998975,1.6199999999998462,1.2396198673266385,0.8099999999999231,0.603713594406684,4.190000000000077,4.330647848287235,0.0,3.129866634764435e-16,0.0,1.3162609801923354e-15,0.0,-0.00931951914233065
1.0899999999998964,1.6349999999998446,1.2544624496617576,0.8174999999999223,0.6106939499442138,4.182500000000077,4.323047324793291,0.0,3.143473404567233e-16,0.0,1.325649270840414e-15,0.0,-0.01213662301143163
1.0999999999998953,1.649999999999843,1.2702186691646373,0.8249999999999215,0.6176198421657398,4.175000000000079,4.316059831153643,0.0,3.301766567535259e-16,0.0,1.3359122972543882e-15,0.0,-0.010090751151356452
1.1099999999998942,1.6649999999998413,1.2865322965052342,0.8324999999999206,0.6248324833737584,4.1675000000000795,4.309375120995765,0.0,3.583747144897461e-16,0.0,1.3462373655911785e-15,0.0,-0.003911271601557604
1.119999999999893,1.6799999999998396,1.3021948957370626,0.8399999999999198,0.6316806370675861,4.16000000000008,4.302270044472228,0.0,3.8683447277307194e-16,0.0,1.3544005059544688e-15,0.0,0.0026933850897486807
1.129999999999892,1.694999999999838,1.3170986251732695,0.847499999999919,0.638474863803239,4.152500000000081,4.295252325241118,0.0,4.1268627097753374e-16,0.0,1.362698823636998e-15,0.0,0.008629131075247598
1.1399999999998909,1.7099999999998363,1.331789942326662,0.8549999999999182,0.6456238097997464,4.145000000000082,4.288176633941333,0.0,4.3438897254639324e-16,0.0,1.3708608884175425e-15,0.0,0.013456517863684235
1.1499999999998898,1.7249999999998347,1.346295594865192,0.8624999999999173,0.6528242612770939,4.137500000000083,4.280884588132326,0.0,4.4229665688584015e-16,0.0,1.3795046388879856e-15,0.0,0.014092493005660855
1.1599999999998887,1.739999999999833,1.3607311331662768,0.8699999999999165,0.6599989117471443,4.130000000000083,4.273417345594511,0.0,4.3904629203683204e-16,0.0,1.388529884501502e-15,0.0,0.01142796741988737
1.1699999999998876,1.7549999999998314,1.375300725174077,0.8774999999999157,0.6670296561634115,4.122500000000084,4.265840738114631,0.0,4.245534012038245e-16,0.0,1.3981778091808366e-15,0.0,0.005412588474319717
1.1799999999998865,1.7699999999998297,1.3896093684831308,0.8849999999999149,0.6740197992241959,4.1150000000000855,4.258163896166756,0.0,4.0260596549686393e-16,0.0,1.4079798893584806e-15,0.0,-0.002725203932291295
1.1899999999998854,1.784999999999828,1.4035421779089343,0.892499999999914,0.6814775617622026,4.107500000000086,4.2504216916296915,0.0,3.8685062380010707e-16,0.0,1.4164761602182804e-15,0.0,-0.008553126623935424
1.1999999999998843,1.7999999999998264,1.4178033391053486,0.8999999999999132,0.6891910832030319,4.100000000000087,4.243022805034101,0.0,3.8026327468596556e-16,0.0,1.4252145129865062e-15,0.0,-0.011387479101995389
1.2099999999998832,1.8149999999998248,1.4323334623350479,0.9074999999999124,0.6968171513168647,4.092500000000087,4.235982048144624,0.0,3.7994787553722565e-16,0.0,1.4347589220460177e-15,0.0,-0.012274890766521012
1.219999999999882,1.829999999999823,1.4471468006594408,0.9149999999999116,0.7044210418209496,4.085000000000089,4.229389705741633,0.0,3.912911454602466e-16,0.0,1.445077045124998e-15,0.0,-0.009511615142000081
1.229999999999881,1.8449999999998214,1.4623634686488285,0.9224999999999107,0.7121877928804052,4.077500000000089,4.223254142353473,0.0,4.119125014780056e-16,0.0,1.45655309105516e-15,0.0,-0.00408116214978838
1.2399999999998799,1.8599999999998198,1.477457935142612,0.9299999999999099,0.7202694801156562,4.07000000000009,4.217184956630326,0.0,4.3247332097300697e-16,0.0,1.4683987252424335e-15,0.0,0.0010534868777663114
1.2499999999998788,1.8749999999998181,1.4924476105234326,0.9374999999999091,0.7282029314561099,4.062500000000091,4.211166518409232,0.0,4.47433527153055e-16,0.0,1.481245873492037e-15,0.0,0.004165852176666065
1.2599999999998777,1.8899999999998165,1.5076447695851614,0.9449999999999082,0.7358627762915558,4.055000000000092,4.204944582158714,0.0,4.592477355107258e-16,0.0,1.4938341873444728e-15,0.0,0.006327930681686971
